panel,model,condition,grok_seats,estimate,ci_low,ci_high,unit,n_games,bootstrap_seed,experiments,risk_levels,games_per_risk,bootstrap_draws,ci_method
a,Claude Haiku 4.5,self_play,,100.0,100.0,100.0,percent_games_reaching_target,60,20261016,exp_baseline;exp_evprobe,0.1;0.5;0.9,20,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
a,Claude Haiku 4.5,one_Qwen_seat,,100.0,100.0,100.0,percent_games_reaching_target,30,20261116,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
a,Gemini 3.5 Flash-Lite,self_play,,100.0,100.0,100.0,percent_games_reaching_target,60,20261017,exp_baseline;exp_evprobe,0.1;0.5;0.9,20,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
a,Gemini 3.5 Flash-Lite,one_Qwen_seat,,36.666666666666664,20.0,53.333333333333336,percent_games_reaching_target,30,20261117,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
a,GPT-5.6 Luna,self_play,,78.33333333333333,68.33333333333333,88.33333333333333,percent_games_reaching_target,60,20261018,exp_baseline;exp_evprobe,0.1;0.5;0.9,20,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
a,GPT-5.6 Luna,one_Qwen_seat,,30.0,13.333333333333334,46.666666666666664,percent_games_reaching_target,30,20261118,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
a,Grok 4.20,self_play,,100.0,100.0,100.0,percent_games_reaching_target,60,20261019,exp_baseline;exp_evprobe,0.1;0.5;0.9,20,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
a,Grok 4.20,one_Qwen_seat,,100.0,100.0,100.0,percent_games_reaching_target,30,20261119,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Claude Haiku 4.5,beside_Grok,1,20.88,20.53333333333334,21.226666666666663,mean_units_per_focal_seat_per_game,30,20261217,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Claude Haiku 4.5,beside_Grok,2,19.483333333333334,18.8,20.216666666666665,mean_units_per_focal_seat_per_game,30,20261218,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
