game_id,experiment,llm_model,player,n_rounds,state_action,contributions,language,risk_probability,persona_set,memory_mode,framing,disposition,rep
crsd_milinski_high_risk__gemma2-9b-it__en__rep0,baseline,gemma2-9b-it,Player_1,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,0
crsd_milinski_high_risk__gemma2-9b-it__en__rep0,baseline,gemma2-9b-it,Player_2,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,0
crsd_milinski_high_risk__gemma2-9b-it__en__rep0,baseline,gemma2-9b-it,Player_3,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,0
crsd_milinski_high_risk__gemma2-9b-it__en__rep0,baseline,gemma2-9b-it,Player_4,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,0
crsd_milinski_high_risk__gemma2-9b-it__en__rep0,baseline,gemma2-9b-it,Player_5,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,0
crsd_milinski_high_risk__gemma2-9b-it__en__rep0,baseline,gemma2-9b-it,Player_6,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,0
crsd_milinski_high_risk__gemma2-9b-it__en__rep1,baseline,gemma2-9b-it,Player_1,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,1
crsd_milinski_high_risk__gemma2-9b-it__en__rep1,baseline,gemma2-9b-it,Player_2,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,1
crsd_milinski_high_risk__gemma2-9b-it__en__rep1,baseline,gemma2-9b-it,Player_3,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,1
crsd_milinski_high_risk__gemma2-9b-it__en__rep1,baseline,gemma2-9b-it,Player_4,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,1
crsd_milinski_high_risk__gemma2-9b-it__en__rep1,baseline,gemma2-9b-it,Player_5,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,1
crsd_milinski_high_risk__gemma2-9b-it__en__rep1,baseline,gemma2-9b-it,Player_6,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,1
crsd_milinski_high_risk__gemma2-9b-it__en__rep2,baseline,gemma2-9b-it,Player_1,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,2
crsd_milinski_high_risk__gemma2-9b-it__en__rep2,baseline,gemma2-9b-it,Player_2,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,2
crsd_milinski_high_risk__gemma2-9b-it__en__rep2,baseline,gemma2-9b-it,Player_3,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,2
crsd_milinski_high_risk__gemma2-9b-it__en__rep2,baseline,gemma2-9b-it,Player_4,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,2
crsd_milinski_high_risk__gemma2-9b-it__en__rep2,baseline,gemma2-9b-it,Player_5,10,E2 62 62 62 62 62 62 62 62 62,2 2 2 2 2 2 2 2 2 2,en,0.9,personas_default,full_history,False,neutral,2
