experiment,game_id,model,language,risk_probability,persona_set,persona_seats,memory_mode,framing,group_total,target,target_reached,catastrophe,mean_payoff,rep,seed
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep0,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,0,12345
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep1,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,1,12346
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep2,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,2,12347
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep3,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,122.0,120.0,1,0,19.666666666666668,3,12348
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep4,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,4,12349
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep5,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,5,12350
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep6,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,6,12351
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep7,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,7,12352
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep8,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,8,12353
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__en__rep9,google-gemini-3.1-flash-lite-preview,en,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,9,12354
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep0,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,0,12345
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep1,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,124.0,120.0,1,0,19.33333333333333,1,12346
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep2,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,2,12347
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep3,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,3,12348
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep4,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,4,12349
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep5,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,5,12350
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep6,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,6,12351
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep7,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,7,12352
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep8,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,8,12353
exp_baseline,crsd_milinski_high_risk__google-gemini-3.1-flash-lite-preview__vn__rep9,google-gemini-3.1-flash-lite-preview,vn,0.9,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,9,12354
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep0,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,0,12345
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep1,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,130.0,120.0,1,0,18.33333333333333,1,12346
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep2,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,2,12347
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep3,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,122.0,120.0,1,0,19.666666666666668,3,12348
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep4,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,4,12349
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep5,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,5,12350
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep6,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,6,12351
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep7,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,122.0,120.0,1,0,19.666666666666668,7,12352
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep8,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,8,12353
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__en__rep9,google-gemini-3.1-flash-lite-preview,en,0.5,personas_default,NNNNNN,full_history,0,130.0,120.0,1,0,18.33333333333333,9,12354
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep0,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,0,12345
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep1,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,1,12346
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep2,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,2,12347
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep3,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,3,12348
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep4,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,4,12349
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep5,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,5,12350
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep6,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,6,12351
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep7,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,7,12352
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep8,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,8,12353
exp_baseline,crsd_milinski_medium_risk__google-gemini-3.1-flash-lite-preview__vn__rep9,google-gemini-3.1-flash-lite-preview,vn,0.5,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,9,12354
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep0,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,0,12345
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep1,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,1,12346
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep2,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,2,12347
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep3,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,122.0,120.0,1,0,19.666666666666668,3,12348
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep4,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,4,12349
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep5,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,130.0,120.0,1,0,18.33333333333333,5,12350
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep6,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,6,12351
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep7,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,7,12352
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep8,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,8,12353
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__en__rep9,google-gemini-3.1-flash-lite-preview,en,0.1,personas_default,NNNNNN,full_history,0,128.0,120.0,1,0,18.666666666666668,9,12354
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep0,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,0,12345
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep1,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,1,12346
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep2,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,2,12347
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep3,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,3,12348
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep4,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,4,12349
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep5,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,5,12350
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep6,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,6,12351
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep7,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,7,12352
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep8,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,8,12353
exp_baseline,crsd_milinski_low_risk__google-gemini-3.1-flash-lite-preview__vn__rep9,google-gemini-3.1-flash-lite-preview,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,9,12354
